SEFLCareers,"We're #hiring! Click to apply: MANAGEMENT TRAINEE - https://t.co/4hrKEgiiSF #leadership #Houston, TX #Job #Jobs",1,Fourth Ward,0825,00,,0
cdrogalaviz,The last place you thirsty people are gonna find water bottles in the city @sethouston #water @… https://t.co/duvJJqthXS,6,Washington Avenue Coalition / Memorial Park,0825,00,water people bottle,3
Dannyboy1112,Shots/cholo @ Tacos Tec Houston Texas https://t.co/78pXyYqPeK,23,Midtown,0825,00,,0
BLifeAldine,SWAT standoff in north Houston ends with suspect jumping out of window https://t.co/gQmVvJv9jA,30,Downtown,0825,00,,0
WinkWestwood,Hell nah RT @OGBEARD: Y'all really take zodiac signs into consideration when dating someone ? Lmao,30,Downtown,0825,00,,0
Dannyboy1112,Bocaditos..... Clave45 @ Tacos Tec Houston Texas https://t.co/FJXOB4WxeC,62,Macgregor,0825,00,,0
WinkWestwood,And my hair tangled again. Can't catch a fuckin break for shit,1,Fourth Ward,0825,00,,0
WinkWestwood,May tweet filth or a sexcapade story idk,30,Downtown,0825,00,,0
pwhiskeybubbles,Team shorty @ Rudyard's Upstairs https://t.co/Ra10S5mVDQ,1,Fourth Ward,0825,00,,0
WinkWestwood,Two hands on her ponytail while throw fuckin 🔥(or bowling balling a woman that's purposely bald. That's 🔥too),1,Fourth Ward,0825,00,,0
PFGCareers,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/YACtT6wmM7 #driver #cdl #Driver #Hiring",4,Greater Hobby Area,0825,01,,0
NailCrushh,Stones still on!!!! Only the best products for my clients!!!! #nailswag #houstonnailtech  Text… https://t.co/TVNBGbqBC7,23,Midtown,0825,01,text,1
MisterRemix,"@ericaalleykmota 😒 @ Houston, Texas https://t.co/XkUmz0cOEj",23,Midtown,0825,01,,0
designdwell,This guy! WOW! Such an amazing soul. Awesome night!!  . . . #soulrocker #michaelfranti #imagine… https://t.co/porP7JQIpz,21,Greenway / Upper Kirby Area,0825,01,,0
McQua,Get Ready Sat. Sept. 2nd #Tsu vs #Pvu Official #Labordayweekend After Party w/ @yogottikom… https://t.co/YMXJOihsJ2,19,Meadowbrook / Allendale,0825,01,,0
MelloTheBarber,I guess Ima be a old man with tattoos 🤦🏾‍♂️ and BIG GUNS that go GRaTATA 💥💥💥 #Saturday… https://t.co/ZUNsiUc3hT,30,Downtown,0825,01,,0
TyBeezy11,kenpachit #PlayMakerz #FOLLOWTHECHECK @ Foxxy's Bikini Sports Bar and Grill https://t.co/IVXsPCQubo,30,Downtown,0825,01,,0
TyBeezy11,kenpachit #PlayMakerz #FOLLOWTHECHECK @ Foxxy's Bikini Sports Bar and Grill https://t.co/0Hz4xESzv5,23,Midtown,0825,01,,0
Bt_denton,"I'm getting older. Some days it's hard to tell if I'm getting wiser, and better, but I'm moving;… https://t.co/xd6mfxqqlT",4,Greater Hobby Area,0825,01,,0
GradeARon,kutnzone Kut-N-Zone & dandpmothers Diamonds And Pearls Mothers  BACK 2 SCHOOL BACKPACK 🎒 & HAIR… https://t.co/aS46UALkV3,19,Meadowbrook / Allendale,0825,01,school,1
Official2STONED,DA FLIP 💰💰💰💰💯💯💯💯💯 @lilsicc @paulwallbaby @official2stoned #NewTexas we on the way 😈 #2stoned 📸… https://t.co/vlnG2huvBN,23,Midtown,0825,01,,0
ParaCG_909,Just posted a photo @ Lei Low Bar https://t.co/JEKZYPZwPQ,23,Midtown,0825,02,,0
IASISCareers,#ProTip - St. Joseph Medical Center is #hiring and you'll want to act fast! Registered Nurse... Click to #apply!… https://t.co/T0qh3XZ8ld,23,Midtown,0825,02,nurse,1
francorecordz,Get the Ultimate Artist  Experience at Afrimma 2017 Awards & Music Festival !! *VIP Seating With… https://t.co/qj9sSin9tm,23,Midtown,0825,02,,0
tman245633,Just posted a photo @ Downtown Houston https://t.co/ZWkmbxqyfo,88,Neartown - Montrose,0825,03,,0
nguyenle,#JDDavis crushes his first career homerun to RF in B11. #Astros #AgsWin #MLB #EarnIt… https://t.co/CG7DXaTG7N,23,Midtown,0825,03,,0
nguyenle,#JoshReddick scores to tie the game at 3 a piece on a Gurriel's double in B9 as the #Astros'… https://t.co/ZRIHLJD4FX,30,Downtown,0825,03,,0
LabattFoodJobs,Join the Labatt Food Service team! See our latest #job opening here: https://t.co/uiEH10WSMd #TruckDriver #Driver #Transportation #Hiring,1,Fourth Ward,0825,03,food service,2
Dannyboy1112,Just posted a video @ La Casa Del Dannyboy https://t.co/Cmj4qVT1xF,30,Downtown,0825,03,,0
ilovethisbot,I 🚶🏽 Houston https://t.co/krJSnN1KyF,6,Washington Avenue Coalition / Memorial Park,0825,03,,0
Jeauxdie825_,"Happy birthday to me🎉 @ Houston, Texas https://t.co/pNGSpY9psO",13,Greater Greenspoint,0825,03,,0
BLifeAcresHomes,"6815 Ashland Forest Dr, Houston, TX 77088, $129,950 4 beds, 3 baths https://t.co/xpV4HWjRFp",5,Eldridge / West Oaks,0825,03,,0
BLifeBriargrove,"1223 Augusta Dr #36, Houston, TX 77057, $119,000 1 bed, 1 bath https://t.co/YHBcCQAf5i",1,Fourth Ward,0825,03,,0
EastHoustonBL,"12426 Frazier River Dr, Houston, TX 77050, $125,000 3 beds, 2 baths https://t.co/IAL0b9QSEF",6,Washington Avenue Coalition / Memorial Park,0825,03,,0
GradeARon,This gul right here...smdh...she know she got my 🖤#foverlovingyou #bae #soontobe #wifey… https://t.co/NALAdH6oK7,39,Northside Village,0825,03,,0
LUVNJUSTUS4,"Pray for us! 🙏🏾🙏🏾🙏🏾 @ Lakeville, Katy, Texas https://t.co/9SAcI0evCv",30,Downtown,0825,03,,0
MelloTheBarber,"Your hair just grow like that bro trust me I been doing this 10 years, plus you thinning on that… https://t.co/6FDZOQe5Pa",6,Washington Avenue Coalition / Memorial Park,0825,04,,0
PFGCareers,"Join the Performance Food Group team! See our latest #job opening here: https://t.co/ASk3RF95BF #driver #cdl #Transportation #Houston, TX",1,Fourth Ward,0825,04,food,1
Emerson_Careers,"See our latest #Houston, TX #job and click to apply: Business Development Manager - https://t.co/ea9chQKWE4 #Sales #Hiring",22,Mid West,0825,04,,0
jalhtx,"I'm at @RowStudios in Houston, TX https://t.co/7KKkG6b7Ll",6,Washington Avenue Coalition / Memorial Park,0825,04,,0
JSharnelle,"In the Name of Jesus!! @ Houston, Texas https://t.co/4BGFRqcCmr",54,Acres Home,0825,04,,0
Emerson_Careers,"We're #hiring! Click to apply: EMS & Electronics Commodity Manager - https://t.co/UASR8UyUM2 #Manufacturing #Houston, TX #Job #Jobs",22,Mid West,0825,04,,0
SimonCareers,"This #job might be a great fit for you: Marketing Intern - https://t.co/3tMgt7fFQx #Simon #internship #Cypress, TX #Hiring #CareerArc",42,Westbury,0825,05,,0
IASISCareers,"Want to work in #Houston, TX? View our latest opening: https://t.co/AntVkWyr1t #NursesLead #ProudToNurse #Nursing… https://t.co/0FGVrR73Ms",42,Westbury,0825,05,,0
Mom365Recruiter,"Want to work in #Houston, TX? View our latest opening: https://t.co/ylzAtnqnv3 #photos #NowHiring #sales #B2C #Job #Jobs #Hiring",42,Westbury,0825,05,,0
GoldenCorralJob,"Want to work at Golden Corral? We're #hiring in #Houston, TX! Click for details: https://t.co/NX8Ps2DZMB #Franchise #Restaurant #Job #Jobs",30,Downtown,0825,05,,0
mar_io18,Good 6 months H-town @ Spire Houston https://t.co/hx8bbbGAYK,1,Fourth Ward,0825,05,,0
LabattFoodJobs,"We're #hiring! Read about our latest #job opening here: Driver, Route - https://t.co/eEkVfeJmnK #TruckDriver #Driver #Transportation",37,Greater Heights,0825,05,,0
Kindred_Jobs,"We're #hiring! Click to apply: PRN Physical Therapy Assistant - Humble - https://t.co/lwPvlqV3fi #Healthcare #Humble, TX #Job #Jobs",1,Fourth Ward,0825,05,,0
GDKN,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/TCbunSBK6v #warehouse #inventory… https://t.co/cMc5Umvfua",42,Westbury,0825,05,,0
LuLu_8503,taylorswift did not disappoint!!! Everything I hoped for and more. #SoGood #PopGoodness… https://t.co/P1JWnoZDds,37,Greater Heights,0825,05,,0
SunstateJobs,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/46iP8SLOcg #Sales #Hiring #CareerArc",37,Greater Heights,0825,06,,0
VantivCareers,"Want to work at Vantiv? We're #hiring in #Houston, TX! Click for details: https://t.co/czRTjTRcnG #fintech #financialservices #BusinessMgmt",1,Fourth Ward,0825,06,,0
JasonO27,@JasonO27 featuring tiffernhtown AKA Quade Game Stupid! thequadqueen  apexhoustongym @ APEX Houston https://t.co/0bpnhJ6nAd,30,Downtown,0825,06,,0
BarriMedia,FLASH FLOOD WATCH has begun as the first rainbands of #Harvey reach our coast. Flooding possible… https://t.co/Bu1JVwekkK,1,Fourth Ward,0825,06,flood,1
JoseGrinanFOX26,Harvey has a defined Eye as it approaches land. And an outlook on what to expect today. @ Fox 26… https://t.co/ssRiKFjM3k,5,Eldridge / West Oaks,0825,06,,0
ennywonBerry,Yummy Mummy Rocking her Colourful Shirt Holland for Yourself... Available in all sizes… https://t.co/uyoSzwaxI1,1,Fourth Ward,0825,06,,0
Kindred_Jobs,"Can you recommend anyone for this #job in #Humble, TX? https://t.co/jCPmTzyrnv #Healthcare #Hiring",6,Washington Avenue Coalition / Memorial Park,0825,06,,0
emytomita,The aviator hub has been busy this first week of school. #kidslovebooks #lovethelibrary #frms… https://t.co/72FZBQR7iY,30,Downtown,0825,06,school,1
gamontague,"charging... #ps4 #hurricaneharvey @ Houston, Texas https://t.co/xDSvs6SZPo",30,Downtown,0825,06,,0
MitchForYoBitch,Good morning!!!! @ Harris County Civil Justice Center https://t.co/npDY5K334x,19,Meadowbrook / Allendale,0825,06,,0
PurposefulHR,"Got that ""last chance"" workout in b4 Harvey... started raining as I… https://t.co/5itGR5c5pT",30,Downtown,0825,06,,0
GuillermoMunoz1,"Not feeling the song but it's taylorswift so it's on repeat for sure. @ Houston, Texas https://t.co/iHMcjy7EM8",30,Downtown,0825,06,,0
levidoc07,"Securing equipment (@ MacArthur High School in Houston, TX) https://t.co/WCcCYOJz6e",30,Downtown,0825,06,school,1
MikeCalderwood,Headed to AZ to build the Hempire. #buildingahempire @ George Bush Intercontinental Airport https://t.co/KPXj2UII3x,1,Fourth Ward,0825,06,,0
NFAforSue,Stocked up with the essentials to prepare for #hurricaneharvey #costco staff did a great job… https://t.co/eu8weQTwXA,30,Downtown,0825,06,,0
JCI_Jobs,"Want to work in #Houston, TX? View our latest opening: https://t.co/vR0L1rnngE #Sales #Job #Jobs #Hiring",19,Meadowbrook / Allendale,0825,06,,0
workatcentral,"See our latest #Houston, TX #job and click to apply: Merchandising Supervisor - https://t.co/lL4H1Gqy1t #DogsOfTwitter #CatsofTwitter",19,Meadowbrook / Allendale,0825,06,,0
philkosch,"#houston @ Houston, Texas https://t.co/UqQGwAsM8l",1,Fourth Ward,0825,06,,0
LoneStarCanuck,"Coming to Houston #uber #gondola #huricane #texas #flooding @lonestarcanuck @ Houston, Texas https://t.co/sEedTjVN4x",30,Downtown,0825,06,,0
Krodg70597,"Just posted a photo @ Third Ward, Houston https://t.co/tACHRyNMY5",69,Sunnyside,0825,06,,0
jalhtx,Calm before the storm @ Marquis Downtown Lofts https://t.co/zg9to9Eptu,1,Fourth Ward,0825,06,,0
ragupesto,Good morning to all..! Our Neapolitan Flan is one of the dessert options for… https://t.co/ALiO3csgOD,30,Downtown,0825,06,,0
Houston,"current weather in Houston: light rain, 77°F 100% humidity, wind 3mph, pressure 1010mb",54,Acres Home,0825,07,,0
Mastermind171,#stormready #bringitharvey #badweatherbrew #drinkcraftnotcrap saintarnoldbrewing @8thwonderbrew… https://t.co/GWWPeQdghk,30,Downtown,0825,07,,0
_ElleParker,"...from runways, to body paint, acting in stages to spoken word, styling and profiling, I sing… https://t.co/D2qqQAQdsd",2,Greater Uptown,0825,07,,0
nonisnotes,Pictures taken while out shopping for non-perishable goods (junk food -- Oh nuts too). Swipe to… https://t.co/BWyKhd6vNY,1,Fourth Ward,0825,07,food,1
15freshrewind,"#happybirthday  #blairunderwood  Blair Erwin Underwood (born August 25, 1964) is an American… https://t.co/s8Rq0Nhpku",53,East Houston,0825,07,,0
RobbySejebor,"Got the opportunity to perform on stage the other day, wish I had clips to show yll but sadly I… https://t.co/hNUFSfwQMG",1,Fourth Ward,0825,07,,0
Zepp1978,"Clear sky, no wind, streets almost empty. Hard to believe it's going to be chaos by tomorrow.… https://t.co/Mh9NYzHr1E",17,South Belt / Ellington,0825,07,,0
mirchanceyart,My human nutty~ [Happy Tree Freinds] https://t.co/FjxgZAVCxh,4,Greater Hobby Area,0825,07,,0
DCtheComedian5,We are here!!!! About to get it in. All overtime today!!!! @ Southmore Post Office https://t.co/qsRuGibfiD,54,Acres Home,0825,07,,0
bigeekay,"Last minute prep. Just in case. #harvey (at @SamsClub in Houston, TX) https://t.co/iZHqn3uJhq",54,Acres Home,0825,07,,0
PamelaRAYE_,:) Congratulations!! Desired Images II Salon has been nominated for the 2017 Fans’ Choice Awards… https://t.co/tMb7YicA6m,30,Downtown,0825,07,,0
SABICCareers,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/ULfuLDRA9e #IT #Veterans #Hiring #CareerArc",30,Downtown,0825,07,,0
za737,"Well, at least I got one more run in #hurricaneharvey #laserfocus @ Norchester, Houston, Texas https://t.co/YLQ9PJE3PA",6,Washington Avenue Coalition / Memorial Park,0825,07,,0
DynamoPete,"I'm at Partnership Tower in Houston, TX https://t.co/6daFq9IKSB",78,University Place,0825,07,,0
4play31,Good morning @ Greenspoint @ Arbor Court Apartments https://t.co/3SZYCfrhxQ,21,Greenway / Upper Kirby Area,0825,07,,0
4play31,lol Every nigga out here is a THOT then no drawls on n shit but if u… https://t.co/NSBGPFyTiO,1,Fourth Ward,0825,07,,0
an_gel_i_kuh,"I'm at @Walgreens in Houston, TX https://t.co/fhjjr4cOP2",1,Fourth Ward,0825,07,,0
IAmFatGirlSlimm,The craziest thing is I didn't even know a hurricane was coming..... I'm from Florida though… https://t.co/3kjBJctw0h,1,Fourth Ward,0825,07,,0
HMSHostCareers,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/eeQd4b6kDO #cook #Foodie #Cook #Hiring",6,Washington Avenue Coalition / Memorial Park,0825,07,,0
mirchanceyart,when I get fanart of beobii-- https://t.co/NovH3ehFtH,1,Fourth Ward,0825,07,,0
Jess0486,Even a hurricane won't stop me from Thriving! #hurricaneharvey #prepared #morningperson #duo… https://t.co/P48ocKAYBN,30,Downtown,0825,07,,0
DJDLuxTx,Just posted a photo @ Gloria's Latin Cuisine https://t.co/M7rTlkXLRg,14,Iah / Airport Area,0825,07,,0
tmj_hou_eng,"We're #hiring! Read about our latest #job opening here: Engineering Intern Job - https://t.co/55TLfg6hL9 #Engineering #Houston, TX",30,Downtown,0825,07,,0
IASISCareers,We're #hiring! Read about our latest #job opening here: Registered Nurse (RN) - Medical Surgical; 7A-7P; Day... -… https://t.co/GzIJWja7Zq,30,Downtown,0825,07,nurse,1
tmj_hou_manuf,This #job might be a great fit for you: Immediate Need for Assemblers and more - https://t.co/idlMALzWfh #KellyJobs #KellyServices,30,Downtown,0825,07,need,1
CareersAtSoma,"Want to work at Soma? We're #hiring in #Houston, TX! Click for details: https://t.co/15joxUt5kW #Retail #Job #Jobs #CareerArc",30,Downtown,0825,07,,0
ajmx83,"I'm at McDonald's in Houston, TX https://t.co/LE3mMio6cQ",30,Downtown,0825,07,,0
tmj_hou_itdb,"This #job might be a great fit for you: Senior Developer (Matlab, Houston) - https://t.co/n5OeF0KQaS #Database #Houston, TX #Hiring",19,Meadowbrook / Allendale,0825,07,,0
tmj_HOU_skltrd,"This #job might be a great fit for you: Sm Equipment Operator - https://t.co/lGyy9CtYDK #SkilledTrade #Houston, TX #Veterans #Hiring",30,Downtown,0825,07,,0
TyBeezy11,If was over for you other niggas along time ago ✅🤷🏽‍♂️▶️ @ University of Houston https://t.co/2ukAwnZnIq,6,Washington Avenue Coalition / Memorial Park,0825,07,,0
tmj_hou_actuar,"If you're looking for work in #Houston, TX, check out this #job: https://t.co/VnRtqwO102 #Actuarial #Hiring #CareerArc",14,Iah / Airport Area,0825,07,,0
tracesmith,"My morning commute into Houston! Where's everyone going? #hurricaneharvey @ Houston, Texas https://t.co/mVLIdXkL5U",21,Greenway / Upper Kirby Area,0825,07,,0
tmj_hou_mgmt,"Want to work at Zoes Kitchen? We're #hiring in #Houston, TX! Click for details: https://t.co/Tq5JAyAge3 #BusinessMgmt #Job #Jobs",30,Downtown,0825,07,,0
anikeboy,"#hurricaneharvey @ Houston, Texas https://t.co/HmZ1Z55ktb",80,Greater Third Ward,0825,07,,0
NASAInterns,"Want to #intern with @NASA in #Houston, TX? View our latest opening: https://t.co/SchkRxWL6K #Aerospace",80,Greater Third Ward,0825,08,,0
tmj_hou_transp,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/oG5QQXCh0s #technician #Hiring",1,Fourth Ward,0825,08,,0
tmj_hou_itpm,"Join the EY team! See our latest #job opening here: https://t.co/bQ0QVFoLSB #ProjectMgmt #Houston, TX #Hiring #CareerArc",30,Downtown,0825,08,,0
tmj_HOU_gensci,"We're #hiring! Read about our latest #job opening here: Research Assistant II - https://t.co/xRyBGkgZqP #laboratory #research #Houston, TX",30,Downtown,0825,08,,0
SeperatedSelf,Hello Harvey. This is these DiSomma's first hurricane. We are… https://t.co/7A8bKI9MIh,30,Downtown,0825,08,,0
Gina_Murphy,"Be authentic.  #besomeone (@ Be Someone graffiti in Houston, TX) https://t.co/GHFzBjyl1U https://t.co/ALv3a9484e",30,Downtown,0825,08,,0
tmj_hou_eng,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/n2OJ3l642B #Engineering #Hiring",19,Meadowbrook / Allendale,0825,08,,0
tmj_hou_adv,"This #job might be a great fit for you: Salesforce Administrator - https://t.co/zbCtsP2Ism #Marketing #Houston, TX #Hiring",1,Fourth Ward,0825,08,,0
AddicksBarker,Addicks Barker TX Fri Aug 25th AM Forecast: TODAY Thunder Storms Hi 85 TONIGHT Tropical Storm Conditions Lo 79,4,Greater Hobby Area,0825,08,,0
tmj_hou_nursing,"Join the Department of Veterans Affairs team! See our latest #job opening here: https://t.co/e4UK9RAToo #Nursing #Houston, TX #Veterans",21,Greenway / Upper Kirby Area,0825,08,,0
tmj_hou_itjava,"We're #hiring! Click to apply: TECHNICAL LEAD SOFTWARE ENGINEERING - https://t.co/j3w3eF7pxq #OpenSource #Houston, TX #Job #Jobs",2,Greater Uptown,0825,08,,0
tmj_HOU_adm,"This #job might be a great fit for you: Software Engineer - https://t.co/uujulfKLiW #IT #Houston, TX #Hiring #CareerArc",37,Greater Heights,0825,08,,0
tmj_hou_it,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/26bOAzWubP #IT #Hiring #CareerArc",14,Iah / Airport Area,0825,08,,0
SofiiaStrykova,Such a pleasure to get off the airplane and bump into what you would think ?) Beauty is chasing… https://t.co/UH9eYfFbEE,17,South Belt / Ellington,0825,08,,0
tmj_hou_sales,"Join the AIG team! See our latest #job opening here: https://t.co/VUeyQLACFe #Sales #Houston, TX #Hiring #CareerArc",14,Iah / Airport Area,0825,08,,0
tmj_hou_edu,"We're #hiring! Read about our latest #job opening here: Teaching Assistant - https://t.co/WssY97qeUb #Education #Houston, TX #CareerArc",1,Fourth Ward,0825,08,,0
GUUDBELLYY,TODAYS RAINY DAY MENU!   The rain has started coming down over here in the Heights around… https://t.co/iy5DNtEovd,30,Downtown,0825,08,,0
tmj_hou_green,This #job might be a great fit for you: Project Manager for Federal Programs - Environmental Services & NEPA - https://t.co/KW5t8bDJFw,14,Iah / Airport Area,0825,08,,0
tmj_hou_library,"Join the Houston Independent School District team! See our latest #job opening here: https://t.co/f1QlO5ygIc #Library #Houston, TX #Hiring",4,Greater Hobby Area,0825,08,school,1
tmj_hou_util,"Want to work in #Houston, TX? View our latest opening: https://t.co/Rk0Uu7kiMA #Utilities #Job #Jobs #Hiring",1,Fourth Ward,0825,08,,0
SofiiaStrykova,"#loveisintheair  When landing tonight   #travel #love #happiness #travels #fly @ Houston, Texas https://t.co/0Dc5ic7kSV",40,Sharpstown,0825,08,,0
RickStarPhoto1,Flashback Friday image of the day w/the beautiful Katie! #flashbackfriday #sunset #portrait… https://t.co/Jmjy4NkK9c,14,Iah / Airport Area,0825,08,,0
Elbernek,The smile i had when My job said we r closed and we still get… https://t.co/EvnKnlL25e,14,Iah / Airport Area,0825,08,,0
tmj_hou_cstsrv,"If you're looking for work in #Houston, TX, check out this #job: https://t.co/Y4AhKEAL9b #CustomerService #Hiring",1,Fourth Ward,0825,08,,0
LETHALWEAPONMV,"Close at 1 today (@ Capital One Bank in Houston, TX) https://t.co/neOZGpd1hk",82,Spring Branch West,0825,08,,0
LGonzalezJB,"The calm before the storm! #hurricaneharvey #houston #texas @ Houston, Texas https://t.co/5yoBjYVQNd",30,Downtown,0825,08,,0
PamelaRAYE_,Book your next appointment with me on StyleSeat. It's super easy! https://t.co/UBppyNaXkj… https://t.co/xuXumsRF8L,30,Downtown,0825,08,,0
tmj_hou_jobs,"We're #hiring! Read about our latest #job opening here: Presentation Specialist, Energy, Investment Banking - https://t.co/Gm2oKsMCXO",1,Fourth Ward,0825,08,,0
YaliSTX,*sigh* To be 22 again. What would you do differently if you knew what you know… https://t.co/GYmRhjxNsh,30,Downtown,0825,08,,0
tmj_hou_health,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/fLJh4f0vEM #Healthcare #Hiring #CareerArc",88,Neartown - Montrose,0825,08,,0
tmj_hou_labor,"This #job might be a great fit for you: Drillers Assistant I - https://t.co/AV2UuV4Tkn #Labor #Houston, TX #Hiring",1,Fourth Ward,0825,08,,0
tmj_HOU_adm,"Can you recommend anyone for this #job? Senior Business Analyst - https://t.co/4PdGj4natL #IT #Houston, TX #Hiring #CareerArc",1,Fourth Ward,0825,08,,0
KATonTV,"Helping you through Hurricane Harvey - if you are in a mandatory evacuation zone, it is time to… https://t.co/o355Kg9uM1",1,Fourth Ward,0825,08,,0
ericaleigh33,Tried to get out for before the rain .... nope. 1 hour delayed right now. Let's hope that's it. #hurricaneharvey https://t.co/NlM4A6mZ3k,1,Fourth Ward,0825,08,,0
tmj_hou_manuf,"Can you recommend anyone for this #job? Wrapout - https://t.co/nwGotITnoN #cintasjobs #Manufacturing #Houston, TX #Hiring #CareerArc",80,Greater Third Ward,0825,08,,0
tmj_hou_cler,"Can you recommend anyone for this #job in #Houston, TX? https://t.co/GcC0CMiliy #Clerical #Hiring #CareerArc",67,Central Southwest,0825,08,,0
tmj_hou_finance,"We're #hiring! Click to apply: Compliance Officer, Financial Crimes Group - https://t.co/CeEVYFGvpQ #Finance #Houston, TX #Job #Jobs",28,Second Ward,0825,08,,0
tmj_hou_acct,"Want to work at WM? We're #hiring in #Houston, TX! Click for details: https://t.co/N0ifhlrLIx #accounting #Veterans #Job #Jobs",30,Downtown,0825,08,,0
tmj_hou_edu,"We're #hiring! Read about our latest #job opening here: New Teacher Coach - https://t.co/Vltna8Dpm0 #Education #Houston, TX #CareerArc",22,Mid West,0825,08,,0
MoFromPromo,Thank you Lord for traveling grace! Be safe and please exercise the… https://t.co/RgqPBkYevk,70,Westchase,0825,08,safe,1
mirchanceyart,Heppy squishy boi https://t.co/52pVUkVa9z,30,Downtown,0825,08,,0
tmj_HOU_schn,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/OFaMWXsGyk #SupplyChain #Hiring #CareerArc",30,Downtown,0825,08,,0
RebekahKish,Yesterday I saw Galatians 5:13 pop up on my bible app. I read it and honestly didn't think too… https://t.co/cuA53IiM2s,17,South Belt / Ellington,0825,08,,0
TyBeezy11,S/O TO THE CAMERA MAN FROM LAST NIGHT @shootemchris HE BE WORKING ✅✅ @ University of Houston https://t.co/1Dy8MB8a6J,14,Iah / Airport Area,0825,08,,0
HankOnFood,"I'm at @Walgreens in Houston, TX https://t.co/Hh1fQNeq7n",1,Fourth Ward,0825,08,,0
tmj_hou_cstsrv,"Want to work at Starbucks? We're #hiring in #Houston, TX! Click for details: https://t.co/12YhbM0rzc #CustomerService #Veterans #Job #Jobs",25,Memorial,0825,08,,0
hardcorespin,Our 3rd Annual Back-2-School Drive was a blast God was great! Stay tuned and stop by A.J's… https://t.co/mBLlRkJBo9,5,Eldridge / West Oaks,0825,08,,0
JLeal713,". @ Houston, Texas https://t.co/T5s7zpJtSz",37,Greater Heights,0825,08,,0
tmj_hou_mgmt,"Can you recommend anyone for this #job? Clinic Manager II-Pulmonary Sugar Land - https://t.co/GL8XQ1JL8f #BusinessMgmt #Houston, TX",13,Greater Greenspoint,0825,08,,0
tmj_HOU_adm,"Want to work at AIG? We're #hiring in #Houston, TX! Click for details: https://t.co/FJ0X7XB2fy #IT #Job #Jobs #CareerArc",30,Downtown,0825,08,,0
tmj_hou_cler,"Can you recommend anyone for this #job? Administrative Assistant II - https://t.co/SF47FU6e1V #Clerical #Houston, T… https://t.co/XU5iSY8tQZ",1,Fourth Ward,0825,08,,0
rastamma,They are rationing water. Meanwhile these are just chilling. #MmmmGMOs. @ Kroger https://t.co/xyy7GjjVHc,88,Neartown - Montrose,0825,08,water,1
misspralexander,"Allergy testing (@ Allergy & Asthma Associates in Houston, TX) https://t.co/zYV74IDczd",5,Eldridge / West Oaks,0825,08,,0
tmj_hou_sales,"Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/mCEDJFA2Be #Sales #Hiring",1,Fourth Ward,0825,08,,0
hardcorespin,Our 3rd Annual Back-2-School Drive was a blast God was great! Stay tuned and stop by A.J's… https://t.co/GIqfNmlkRS,67,Central Southwest,0825,08,,0
