nurse,223,"{'register': 1705, 'click': 1133, 'apply': 957, 'latest': 858, 'medical': 506, 'joseph': 319, 'night': 297, 'practitioner': 220, 'staff': 154, 'unit': 143, 'icu': 121, 'emergency': 99, 'surgical': 99, 'sign': 88, 'acute': 88, 'oncology': 55, 'license': 55, 'room': 55, 'infusion': 55, 'med': 44, 'obgyn': 44, 'vocational': 44, 'pacu': 44, 'outpatient': 44, 'practitionerinstructor': 44, 'failure': 33, 'overflow': 33, 'operate': 33, 'transplant': 33, 'iiiii': 33}"
support,185,"{'latest': 576, 'click': 528, 'apply': 516, 'associate': 396, 'see': 300, 'application': 264, 'effort': 96, 'local': 72, 'desktop': 48, 'artist': 36}"
donate,179,"{'help': 520, 'please': 299, 'need': 273, 'houston': 273, 'relief': 247, 'would': 117, 'fund': 117, 'cross': 104, 'red': 104, 'item': 91, 'clothes': 91, 'challenge': 78, 'blessing': 78, 'towards': 78, 'whatever': 78, 'proceeds': 78, 'hart': 65, 'kevin': 65, 'locally': 52, 'either': 39, 'clean': 39}"
food,175,"{'service': 364, 'labatt': 308, 'opening': 308, 'team': 280, 'fill': 280, 'without': 266, 'tank': 252, 'wallet': 252, 'emptying': 252, 'oceanaire': 252, 'performance': 112, 'wine': 112, 'spirits': 84, 'finer': 84, 'specs': 70, 'comfort': 70, 'serving': 56, 'chef': 42, 'hot': 42}"
service,169,"{'latest': 885, 'click': 825, 'apply': 675, 'opening': 570, 'customer': 540, 'representative': 480, 'food': 390, 'labatt': 330, 'field': 165, 'uniform': 60}"
call,160,"{'need': 368, 'help': 352, 'houston': 256, 'texas': 224, 'home': 192, 'text': 144, 'number': 96, 'appointment': 80, 'phone': 80}"
rescue,151,"{'need': 527, 'houston': 493, 'people': 459, 'boat': 408, 'help': 340, 'kirkwood': 170, 'houstonians': 85, 'guard': 68, 'navy': 68, 'animal': 68, 'helicopter': 68, 'elderly': 68}"
donation,141,"{'need': 288, 'drop': 270, 'accept': 234, 'houston': 234, 'help': 216, 'volunteer': 198, 'tomorrow': 180, 'small': 126, 'evacuee': 126, 'cross': 108, 'far': 90, 'jim': 72, 'collecting': 72, 'grb': 72, 'crane': 72, 'responder': 72, 'charity': 72, 'foundation': 54}"
relief,131,"{'harvey': 798, 'hurricane': 779, 'effort': 703, 'houston': 703, 'donate': 361, 'bbq': 285, 'operation': 285, 'fund': 285, 'disaster': 266, 'working': 228, 'apple': 190, 'million': 171, 'assist': 114, 'proceeds': 114, 'mlb': 95, 'pledge': 95, 'announce': 57}"
shelter,123,"{'need': 460, 'houston': 340, 'open': 320, 'texas': 320, 'center': 300, 'toyota': 140, 'isd': 100, 'nrg': 80, 'info': 80, 'turner': 80, 'seek': 80}"
volunteer,108,"{'need': 441, 'help': 273, 'houston': 252, 'brown': 231, 'donation': 231, 'nrg': 105, 'grb': 84, 'organize': 63, 'lakewood': 63}"
community,100,"{'houston': 396, 'help': 352, 'come': 198, 'need': 176, 'city': 176, 'helping': 176, 'fifth': 110, 'peace': 88, 'focus': 66}"
boat,88,"{'rescue': 552, 'need': 345, 'houston': 322, 'get': 276, 'help': 253, 'arthur': 92, 'evacuate': 92, 'helicopter': 92, 'citizen': 92, 'driving': 69}"
money,82,"{'make': 624, 'profits': 456, 'blogging': 432, 'series': 432, 'part': 432, 'raise': 120, 'throw': 72}"
victim,80,"{'harvey': 1100, 'hurricane': 900, 'flood': 675, 'help': 525, 'storm': 450}"
supply,73,"{'need': 260, 'latest': 234, 'university': 234, 'commercial': 234, 'chain': 208, 'deliver': 130, 'july': 130, 'trading': 104, 'afternoon': 78}"
car,71,"{'get': 351, 'houston': 324, 'flood': 243, 'texas': 216, 'water': 162, 'horrible': 108}"
power,69,"{'houston': 336, 'still': 336, 'texas': 196, 'harvey': 168, 'yoga': 140, 'outage': 112, 'bigyogahouston': 84}"
restaurant,62,"{'houston': 377, 'team': 290, 'open': 261, 'member': 203, 'latest': 174, 'mexican': 116, 'bjs': 116, 'peak': 87}"
emergency,60,"{'need': 270, 'nurse': 270, 'numbers': 240, 'register': 210, 'flood': 210, 'department': 150, 'address': 120}"
truck,57,"{'click': 403, 'driver': 310, 'apply': 248, 'class': 217, 'need': 217, 'lease': 124, 'cream': 124, 'penske': 124}"
dog,53,"{'harvey': 320, 'hurricane': 256, 'foster': 224, 'day': 224, 'national': 192, 'pet': 160, 'hot': 128, 'spa': 128, 'palace': 128}"
gas,49,"{'oil': 495, 'latest': 330, 'project': 330, 'manager': 330, 'houston': 264, 'epc': 165, 'natural': 99}"
damage,49,"{'hurricane': 340, 'water': 238, 'harvey': 204, 'rain': 204, 'house': 170, 'minor': 136}"
contact,46,"{'texas': 455, 'need': 385, 'houston': 280, 'help': 245, 'please': 245}"
wine,43,"{'premise': 468, 'houston': 324, 'merchandiser': 288, 'bottle': 288, 'food': 288, 'spirits': 252, 'finer': 216, 'specs': 180, 'glass': 108}"
text,41,"{'harvey': 481, 'help': 370, 'call': 333, 'texas': 222, 'thanks': 185}"
beer,38,"{'drinking': 418, 'hurricane': 266, 'thwonderbrew': 190, 'harvey': 190, 'night': 152}"
grocery,38,"{'store': 702, 'open': 234, 'heb': 195, 'houston': 195, 'like': 195}"
tank,30,"{'fill': 800, 'food': 720, 'without': 720, 'emptying': 720, 'wallet': 720, 'oceanaire': 720, 'shirt': 200, 'sweatshirt': 160}"
clothes,29,"{'donate': 287, 'need': 205, 'yall': 164, 'send': 164}"
trail,27,"{'houston': 672, 'old': 378, 'spanish': 378, 'walking': 252, 'home': 252, 'walgreens': 126}"
fund,26,"{'relief': 645, 'donate': 387, 'hurricane': 387, 'harvey': 387, 'houston': 344}"
bottle,23,"{'water': 484, 'wine': 352, 'glass': 220, 'houston': 176, 'finally': 176, 'buck': 176}"
assistance,23,"{'need': 450, 'texas': 270, 'fema': 225, 'numbers': 180}"
oil,22,"{'gas': 690, 'project': 460, 'latest': 414, 'opening': 322, 'manager': 322, 'epc': 230}"
advisory,18,"{'services': 517, 'senior': 470, 'manager': 470, 'click': 282, 'apply': 282, 'transaction': 235}"
